Scenario,Pattern,Strength_pct,Algorithm,TrialIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
large,balanced,20,BDTR,9,0.681541582150101,0,0.340770791075051,0,0.658333333333333,0.658333333333333,0.341666666666667,169.822784810127
large,balanced,20,BDTR,10,0.686746987951807,0,0.343373493975904,0.111111111111111,0.641666666666667,0.641666666666667,0.358333333333333,167.792207792208
large,balanced,20,SROM,1,0.768292682926829,0.111675126903553,0.439983904915191,0.166666666666667,0.675,0.675,0.325,171.012345679012
large,balanced,20,SROM,2,0.713426853707415,0,0.356713426853707,0.105263157894737,0.625,0.625,0.375,171.466666666667
large,balanced,20,SROM,3,0.752988047808765,0,0.376494023904382,0.181818181818182,0.675,0.675,0.325,171.777777777778
large,balanced,20,SROM,4,0.669306930693069,0.0739299610894941,0.371618445891282,0.08,0.583333333333333,0.583333333333333,0.416666666666667,166.414285714286
large,balanced,20,SROM,5,0.711382113821138,0,0.355691056910569,0,0.633333333333333,0.633333333333333,0.366666666666667,162.565789473684
large,balanced,20,SROM,6,0.761523046092184,0,0.380761523046092,0.105263157894737,0.65,0.65,0.35,168.730769230769
large,balanced,20,SROM,7,0.754601226993865,0.0841584158415841,0.419379821417725,0.111111111111111,0.65,0.65,0.35,167.141025641026
large,balanced,20,SROM,8,0.691699604743083,0.075,0.383349802371541,0.0769230769230769,0.608333333333333,0.608333333333333,0.391666666666667,165.178082191781
large,balanced,20,SROM,9,0.696356275303644,0,0.348178137651822,0,0.65,0.65,0.35,168.128205128205
large,balanced,20,SROM,10,0.698795180722892,0.0748031496062992,0.386799165164595,0.222222222222222,0.641666666666667,0.641666666666667,0.358333333333333,167.87012987013
large,balanced,20,Hungarian (Ours),1,0.661122661122661,1,0.830561330561331,1,0.658333333333333,0.658333333333333,0.341666666666667,135.493670886076
large,balanced,20,Hungarian (Ours),2,0.556016597510373,0.546218487394958,0.551117542452666,1,0.566666666666667,0.566666666666667,0.433333333333333,126.397058823529
large,balanced,20,Hungarian (Ours),3,0.656964656964657,1,0.828482328482329,1,0.65,0.65,0.35,131.435897435897
large,balanced,20,Hungarian (Ours),4,0.573804573804574,1,0.786902286902287,1,0.591666666666667,0.591666666666667,0.408333333333333,133.619718309859
large,balanced,20,Hungarian (Ours),5,0.644490644490645,1,0.822245322245322,1,0.65,0.65,0.35,132.75641025641
large,balanced,20,Hungarian (Ours),6,0.665280665280665,1,0.832640332640333,1,0.666666666666667,0.666666666666667,0.333333333333333,135.2375
large,balanced,20,Hungarian (Ours),7,0.648648648648649,1,0.824324324324324,1,0.65,0.65,0.35,132.423076923077
large,balanced,20,Hungarian (Ours),8,0.615384615384615,1,0.807692307692308,1,0.616666666666667,0.616666666666667,0.383333333333333,133.594594594595
large,balanced,20,Hungarian (Ours),9,0.625779625779626,0.531120331950207,0.578449978864917,1,0.641666666666667,0.641666666666667,0.358333333333333,131.012987012987
large,balanced,20,Hungarian (Ours),10,0.61954261954262,1,0.80977130977131,1,0.625,0.625,0.375,131.773333333333
large,balanced,30,RRAM,1,0.332681017612524,0.252707581227437,0.292694299419981,0.129032258064516,0.35,0.35,0.65,140.214285714286
large,balanced,30,RRAM,2,0.355731225296443,0.142011834319527,0.248871529807985,0.230769230769231,0.383333333333333,0.383333333333333,0.616666666666667,143.391304347826
large,balanced,30,RRAM,3,0.315151515151515,0.25,0.282575757575758,0.133333333333333,0.325,0.325,0.675,123.820512820513
large,balanced,30,RRAM,4,0.383429672447013,0.177865612648221,0.280647642547617,0.230769230769231,0.408333333333333,0.408333333333333,0.591666666666667,144.897959183673
large,balanced,30,RRAM,5,0.468992248062016,0,0.234496124031008,0.388888888888889,0.458333333333333,0.458333333333333,0.541666666666667,151.6
large,balanced,30,RRAM,6,0.363095238095238,0.170212765957447,0.266654002026342,0.208333333333333,0.375,0.375,0.625,141.088888888889
large,balanced,30,RRAM,7,0.336,0.0948616600790514,0.215430830039526,0.2,0.35,0.35,0.65,130.452380952381
large,balanced,30,RRAM,8,0.336693548387097,0.37109375,0.353893649193548,0.1875,0.341666666666667,0.341666666666667,0.658333333333333,123.756097560976
large,balanced,30,RRAM,9,0.362204724409449,0.069672131147541,0.215938427778495,0.285714285714286,0.375,0.375,0.625,145.311111111111
large,balanced,30,RRAM,10,0.347222222222222,0.286231884057971,0.316727053140097,0.291666666666667,0.358333333333333,0.358333333333333,0.641666666666667,133.674418604651
large,balanced,30,BDTR,1,0.687872763419483,0,0.343936381709742,0.173913043478261,0.616666666666667,0.616666666666667,0.383333333333333,169.378378378378
