Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,185,0.439628482972136,0.71474358974359,0.577186036357863,1,0.4375,0.4375,0.5625,169.6
small,RRAM,186,0.514880952380952,0.94017094017094,0.727525946275946,0.5,0.5,0.5,0.5,196.775
small,RRAM,187,0.427299703264095,0.622302158273381,0.524800930768738,0,0.45,0.45,0.55,178.694444444444
small,RRAM,188,0.43452380952381,0.658682634730539,0.546603222127174,0.285714285714286,0.4625,0.4625,0.5375,174.540540540541
small,RRAM,189,0.353982300884956,0.597222222222222,0.475602261553589,0,0.35,0.35,0.65,168.142857142857
small,RRAM,190,0.476780185758514,0.958333333333333,0.717556759545924,1,0.5,0.5,0.5,175.475
small,RRAM,191,0.425287356321839,0.762264150943396,0.593775753632618,0.230769230769231,0.4625,0.4625,0.5375,184.675675675676
small,RRAM,192,0.367952522255193,0.414634146341463,0.391293334298328,0,0.375,0.375,0.625,157.9
small,RRAM,193,0.526760563380282,0.507204610951009,0.516982587165645,0.454545454545455,0.475,0.475,0.525,173.552631578947
small,RRAM,194,0.409495548961424,0.538057742782152,0.473776645871788,0.266666666666667,0.4375,0.4375,0.5625,180.314285714286
small,RRAM,195,0.48297213622291,0.682666666666667,0.582819401444788,1,0.4625,0.4625,0.5375,183.540540540541
small,RRAM,196,0.425595238095238,0.88339222614841,0.654493732121824,0.214285714285714,0.45,0.45,0.55,184.055555555556
small,RRAM,197,0.358974358974359,0.354545454545454,0.356759906759907,0,0.425,0.425,0.575,169.176470588235
small,RRAM,198,0.476780185758514,0.94140625,0.709093217879257,1,0.475,0.475,0.525,181.894736842105
small,RRAM,199,0.387464387464387,0.392523364485981,0.389993875975184,0,0.4125,0.4125,0.5875,164.666666666667
small,RRAM,200,0.398809523809524,0.696078431372549,0.547443977591036,0,0.4,0.4,0.6,160.40625
small,RRAM,201,0.436578171091445,0.527536231884058,0.482057201487752,0,0.45,0.45,0.55,188.75
small,RRAM,202,0.448377581120944,0.512968299711816,0.48067294041638,0,0.4375,0.4375,0.5625,183.942857142857
small,RRAM,203,0.397626112759644,0.770318021201413,0.583972066980529,0,0.4125,0.4125,0.5875,180.575757575758
small,RRAM,204,0.446428571428571,0.729096989966555,0.587762780697563,0,0.475,0.475,0.525,179.578947368421
small,RRAM,205,0.38390092879257,0.918918918918919,0.651409923855744,1,0.4,0.4,0.6,169.09375
small,RRAM,206,0.392857142857143,0.544401544401544,0.468629343629344,0,0.425,0.425,0.575,166.147058823529
small,RRAM,207,0.458452722063037,0.718875502008032,0.588664112035535,0.222222222222222,0.475,0.475,0.525,186.631578947368
small,RRAM,208,0.507739938080495,0.867208672086721,0.687474305083608,1,0.475,0.475,0.525,182.5
small,RRAM,209,0.407185628742515,0.759433962264151,0.583309795503333,0,0.4375,0.4375,0.5625,161.142857142857
small,RRAM,210,0.423529411764706,0.471204188481675,0.447366800123191,0,0.4,0.4,0.6,172.71875
small,RRAM,211,0.461538461538462,0.734138972809668,0.597838717174065,0.5,0.4875,0.4875,0.5125,173.153846153846
small,RRAM,212,0.348082595870207,0.635057471264368,0.491570033567287,0,0.375,0.375,0.625,161.333333333333
small,RRAM,213,0.439169139465875,0.72945205479452,0.584310597130198,0.266666666666667,0.4625,0.4625,0.5375,168.351351351351
small,RRAM,214,0.421364985163205,0.612068965517241,0.516716975340223,0,0.4,0.4,0.6,180.59375
small,RRAM,215,0.351190476190476,0.796296296296296,0.573743386243386,0,0.3625,0.3625,0.6375,166.896551724138
small,RRAM,216,0.495702005730659,0.530546623794212,0.513124314762436,0.333333333333333,0.475,0.475,0.525,189.868421052632
small,RRAM,217,0.530085959885387,0.916230366492147,0.723158163188767,0.333333333333333,0.5,0.5,0.5,205.7
small,RRAM,218,0.4,0.489626556016598,0.444813278008299,0,0.4375,0.4375,0.5625,170.428571428571
small,RRAM,219,0.480597014925373,0.75,0.615298507462687,0.0769230769230769,0.4875,0.4875,0.5125,176.666666666667
small,RRAM,220,0.429378531073446,0.5,0.464689265536723,0.3125,0.4875,0.4875,0.5125,171.538461538462
small,RRAM,221,0.489164086687306,0.896449704142012,0.692806895414659,1,0.475,0.475,0.525,168.131578947368
small,RRAM,222,0.441791044776119,0.534285714285714,0.488038379530917,0,0.475,0.475,0.525,181.473684210526
small,RRAM,223,0.482142857142857,0.79136690647482,0.636754881808839,0.285714285714286,0.525,0.525,0.475,186.880952380952
